Tag,Comment
1,the user interface is very simple clear and straightforward. but it lacks depth where it should have been extensive. for example after signing up for the first time the user is directed by to the login page to login again. this is not very user friendly and is rather redundant. one must automatically sign in after creating an account. also the application should deduce whether i a reactor or or an admin from the email id entered. i should now have to specify for or reactor about my role.
1,the ui is basic as of now. the show profile link is broken.
0,the interface is good clean and very easy to use.
0,they are simple links to pages which does tell you where to go so it fine.
1,all the buttons which do what they say they do are quite good. quite reasonably i can click on these buttons and the expected behavior occurs. it a little weird to have to select whether i want to log in as house hunter reactor or the admin at the login screen and that it does work without selecting the right user type. unfortunately many buttons do not do what they say or redirect the application to dead page. here are the which do not work. attempting to delete real estate company makes you view real estate company detailed info. inquiries do the same. attempting to show anything that not real estate company throws. as reactor i tried to update add company information and my change was rejected. the list house form has create company as its submit button. there are also many things i expected to be able to do that there were not buttons or links for.
0,the ui is elementary but intuitive. the links have long descriptive names
0,yes it is deployed on hero
1,the login sign module seems to be well tested of all the other models and controllers in the program. but this module has drawback. it deals with three tables the the and the admin. due to this kind of segmentation there is repetition of data the database if any user would like to sign as both. also it would make it difficult to handle complexity as the application grows. according to me its better to cascade the tables of and house hunters into one. the other are not wholly implemented only the crud operations related to those are implemented hence not much could be reviewed about testing.
0,the project needs validations on all fields i was able to enter random values in email address mobile number fields. some of the additional were missing filter inquiry see who has added my house to their inquiry list etc. the project is well connected and navigation is easy. overall it looks very clean and intuitive.
1,i don think the test has been finished. the controller test file is basic empty and the same empty in the model test file.
0,no not really. no user type has all the functionality in this review check boxes much less all the functionality specified in the project description. manual inspection of the test folder reveals that all the model and controller tests are empty as are the fixtures.
0,no testing is not covered yet.
0,yes the team seems to have tested their completely that handles login layout and other user validations
0,admin and reactor are partially working. many other features need to implement.
0,the project only has commits all on single day. so yes it can be said that the project was implemented or developed over period of time.
0,the code was presumably unloaded in the end pushed from another repo and hence i could not see any regular commits.
0,i can not see the completed development procedure the only commit in the is on monday the week of.
0,no. they only have commits and branch so that means they waited until the last minute to do thi
1,i cannon appraise this because i do not believe they did their development in the linked repo. there is only one commit where all the functionality was added. i am inclined to say the team was not actively developing over the project period.
0,in total there are only commits done.
0,no according to the git history there has not been no changes pushed after oct st
1,i could see only one person commits. each team member needs to contribute to git.
0,the models views and controllers have been properly designed and implemented.
0,most of the practices have been followed
0,the ruby source code appears to follow for conventions and uses few rails associations. the directory names and project structure appear to follow good for mac conventions. source code is organized and uncluttered too.
0,the code is written really well.
0,very good structure readable and names are very relevant to the functionality
0,the code is neat and precise with proper structure and comments
0,the overall ui is good but there can be some improvements made on the admin part of the app. we need to change the link manually to end up at the admin dashboard.
0,the ui is mostly easy to use but the is nearly undocumented.
0,good design and easy to use.
0,the deployed link is not accessible. the file describes the process for just admin login but not for the consequent steps.
0,the ui is straight forward and easy to use. the implementation of the menu bar makes it look better. though there is scope for improvement. the admin link in the file is not working.
0,nice user interface good use layouts. but unable to log in as admin
1,ui is nicely done. there are few things that can be improved. clear all list all houses field once search parameter has been given. do not show receiver object id in inquiries. maybe something more useful.
0,controller has been tested
0,they tested at least one controller but none of the models.
0,the team has added functionality for login through sign in but i could verify it working.
1,the reactor and house hunter controllers work as desired in most cases though there are some cases which need to be addressed. there is need to validate the real estate creation form.
0,extensive testing was done
0,yes.
0,team was active throughout the process
0,no the majority of the work was pushed on. it is an impressive product if they got all of this done in the past week.
0,there are many commits which are divided almost equally between all 
0,yes about commits were done
0,code commit frequency is good.
0,the code is very well written and arranged to be easily understandable. no extraneous code or unused code visible. dry principles have been implemented very well.
0,very clearly code
0,i think it does pretty well to follow the good ruby and rails coding practices. it is elegant and follows the dry code approach.
0,this team has followed the basic structure followed in every ruby on rails application which made my task easier to access files and understand their logic. properly described file and also one additional pdf given with application was enough to give me proper understanding of the modules.
0, file contains enough information to understand the project implementation basics.
1,please directly tall users where to sign up.
0,the user interface is very intuitive and easy to use. it is very well explained in the file. the steps to run the code are described as well.
0,yes the user interface is intuitive and easy to use. also the file has been perfectly described to give the proper idea of the flow and login credentials of an admin.
0,basic scaffold generated tests available.
0,yes from what i could see they have done well in testing at least one model and one controller.
0,team has perfectly implemented major modules and also they have implemented the extra credit portion. i tried to login with invalid credentials or some invalid password email phone lengths but there were validations. hence they have perfectly focused on this parts too and tested it. i believe this has implemented through test of at least one module and controller.
0,several linear commits with good explanations available.
0,tem has properly used git and only pushed the changes when necessary and also consistently throughout the project period.
0,well written code.
0,not lot of code to begin with but whatever is there seems by coding practice norms. most of the code seems to be commented
0,the code base is very minimum. many are not implemented.
0,yes partially the code has the parameters not well defined for all only one conceivable user seemingly admin and that too is doubtful to have the correct mac layout. for instance they seem to have created separate mac architectures for companies and users only. this goes to show that they are lacking in layered approach on access and privileges. also the code is written in reasonably clean and formatted style with the variable definitions to be self explanatory of the they perform in most cases for whichever few roles defined.
0,the code is properly written with good ruby practices however no comments are mentioned.
0,it seems as though you have an awful lot of controllers that are supposed to have something to do with authentication that either don get used or don have any code in them. other than that the project looks organized like ruby on rails project should be. there is lot of code that is hard to follow and i can discern its purpose in several controllers.
0,yes the code follows good ruby and rails coding practices as the models views and controllers are well defined
0, not well defined
0,the login opens the user page which has which has back links for some reason and they do not do anything. no common home page for all the list views. have to all the list views go from user pages. list of companies is not in tabulated form thus very difficult to read
0,i cannon create any hunter or reactor accounts.
1,this ui is pretty good. it fairly intuitive to follow. the only thing i recommend is to have link to the sign page on your welcome screen.
1,there is scope of improvement by eliminating multiple back links on each page.
0, file is absent.
0,admin not able to create real estate company loads error page after creating new user not able to see the user in the list could find sign up for reactor house hunter throwing an error company must exist this is because of the foreign key reference and while creating the user there is no field to select one so it gets an empty or nil value. no houses and inquiries functionality created yet. not able to check the of house hunter and reactor as was not able to sign up for that user because of the above error
1,it is not very intuitive user interface because the ease of navigation not achieved in it due to the ill defined db folders and the file in git hub makes the session linkage bit hard to follow. also i fail to understand the structural flow of the program even after logging in after signing up. so i get easily confused on what to do. sign up is not validated for any functionality be it user or admin or reactor and we don know what to do and that are we or any other user. privilege separation has not been done. also the barely resolve the dilemma and is of minimal help to us to follow the steps.
0,the interface is preliminary but is easy to understand.
0,does seem like it. only user and company part have been implemented and i was able to delete the admin user easily and in the company edit view for e.g year input does check for valid year is valid year. therefore it has not been thoroughly tested
0,there seems to be many missing. i cannon register as hunter or reactor hunter reactor interest of buying model do not appear to be in the folder app models.. seems to be an incomplete project unless the previous reviewer cracked the system.
0, are incomplete while able to log in through admin cannon edit or create any other user because of the error.
0,no that does seem to be the case since it has been very jumpy approach and also the functionality of only basic login has been added. so if adding the bare login and sign up is considered as an mac architecture then they have surely built bare backbone of it.
0,the team yet implemented any proper testing
0,the user model has been tested although i can say it is thorough at this point as it only tests the validity that is already required by the model.
0,the admin functionality is tested well however there are some fields like validations of phone number which are yet to be tested or improved upon
0, of are many other are yet to be implemented.
0,there are only ten commits and that too only from one account which means it has only been done by one individual and not team.
0,i did see updates and commits hours ago.
0,yes added the working timely.
0,yes seems to be so the case in effect the last commit being just hrs ago. but what changes against each file have been made is not clear hence its bit unclear as to the extent and the number of changes made. moreover the amount of subject matter and the number of sessions or models are far too less to be implementing any changes as such.
0,the team has been pushing commits in way that shows they have been making consistent progress on the project.
0,yes they have around commits.
0,i could see commits by only one person. need team contribution.
0,most files seem to be following good coding practices.
0,the file is well constructed. mac files are properly made and easy to navigate. db migrations can be seen easily as well. overall good job done on this part.
0,the app was designed according to the ruby conventions and coding practices. the necessary authorizations are used along with gems to handle user session. some models do not have the complete validations but the validations in place are using the ruby practices. the active record and association between models is also used in the project.
0,fairly good coding practices followed.
1,ui is easy to use suggestion would be to display tables of data better with better spacing the list houses page for example has the columns cramped up together
1,the user interface is very intuitive. the idea to add field for preferred contact is very smart and relevant. displaying the number of registered users however seems irrelevant to the house hunter and reactor perhaps this can be function of the admin account where it would be more relevant.
0,the ui is well built as well. specially the navigation bar at the top is delight in terms of user experience.
0,no the file tells me what i should do to test in local computer and does not offer admin information or any instruction of how to operate when login to the webster
0,yes the ui is pretty smooth and person can navigate freely. however in some cases there is no back link in the web page so the user has to use browser navigation to go to the previous page.
0,the design lacks dynamic paging for different users. all the links are visible to all the users and upon clicking the links an error comes that you are not authorized to perform the action. ideally only relevant links should be visible to the user. it confuses the user regarding the actions he she can perform. the user needs to perform all the actions visible in the ui to know what are the actions relevant for him her. the file also is not well described about the actions that can be performed by the user. the file currently lacks any relevant information.
0,i could only check ui. since i could not find admin and reactor code on either i believe you are yet to implement the functionality. the ui i viewed was easy to use. further site is responsive and incorporates several new features like requiring password for editing the profile. i guess that was work of gem but either way good work.
0,yes. the controller and model for handling inquiries have been thoroughly tested.
0,extra credit features have not been implemented. no sign in and no email replies
0,the default are present for some controllers. all the test are not present for the controllers. the models are not testes.
0,could not find custom tests.
0,with total of commits the team has actively pushed changes to the project. although not all commits are labeled very accurately it is still easy to comprehend the pushed changes.
0,the team kept on pushing changes throughout the project period showing timely contributions from each team member. in fact by looking at the commits each team member was probably assigned dedicated module to work on which always works well to create such big application.
0,yes through the commit record i can see that this team has been keeping pushing their changes.
0,there are more than commits and they have been working continuously
0,there were regular commits during the course of the project.
0,fairly frequent commits to git.
0,just one table is used for all users. therefore there is no distinction among the admin reactor and the house hunter
0,not much functionality is available. of what is available however the code does follow good ruby and rails coding practices
0,the code there seems to be well organized. but the problem is that many are missing and there are too much code in models and controllers.
0,code is using basic ruby on rails structure which by default provides the crud functionality but no details of admin login provided. also some of the models seem to be missing.
0,the code is well written. i noticed the controller for inquiries is well written but it is unclear how to access all those from the front end.
0,the code is very neat and easy to read but can tell it is the auto generated code from scaffold.
0,user interface should not show the location users dashboard find me in app views users 
0,the application has bare minimum of what was required. a user sign and login has been implemented but no information about what type of user has signed up logged in is available. file is the default and no changes have been made to it.
0,the application portal is same for all the users. therefore all users have been given same permissions. does not contain admin credentials. hence can test admin 
0,no admin account provided. no user role selections. seems to be an incomplete project. looks like they use scaffolding to generate the templates but didn fill in the necessary code.
0,ui displays session info file paths and tags. could be improved with little efforts
0,no information for admin login credentials provided anywhere. under signing up no option to sign up as reactor or hunter is given. they should be able to do that because otherwise the are being differentiated for hunter and reactor
0,the application is deployed on hero and the user interface is easy to use.
0,the implementation can only log one type of user on and even though not specified the user has all controls so it can be assumed its an admin. can sign as well.
0,there is just one user role in the current submission. unable to test the admin functionality
0,no roles implemented.
0,basic tests are present. not custom tests though
0,no none of the controllers or models have been tested.
0,actually did find some auto generated test code for the controllers but don think it is thoroughly test. and there is no test code for the model.
0,total of commits are visible on got but do not show linear increment in the work done.
0,yes. good effort in case of pushing changes
0,no updates since days ago
0,only on days all together
0,i looked through their commits log and found that their first commit is on sep. maybe their just began to do the project on sep.
0,total of only commits has been made on days.
0,most code seems to be written with good coding practices in mind.
0,the repository looks to be set up well and the app is laid out like typical ruby on rails application. good file was present as well.
1,the code looks great. it all scaffolding and really lean view modifications.
0,good coding style names are well selected and good readability.
0,they use correct files to do specific behaviors and make advantage of the features ruby and rails provides. however i think the structure of the files is not clear enough.
0,have used dry principles. followed good coding practices.
0,the code follows the right style and in good format.
1,ui does have proper navigation in many pages. a suggestion would be to display the data in more spaced out way using tables or such methods as it looks very cramped and confusing.
0,while some links were easy to find and navigate after editing houses and companies i could not return back to good home screen. i also was unable to log out.
1,i docking some points here because hero does appear to work. i think some malicious reviewer deleted the admin and the real estate company and surprise. if company does exist it does let any user sign up. please re seed your database so i can test your app.
1,i cannon get access to the interface and the is not provided. they should provide file later to state how can i test the project.
0,have listed out the functionality which is very intuitive. but some links like as reactor and as house hunter are broken making bit of confusion.
1,deployed on hero friendly interface good file.
0,navigation is hard while some models seem to work for most cases inquiries for example is not tested as im unable to create an inquiry
0,they had good amount of tests the 
0,the code in controller files are still incomplete for crud operations so i am not aware if this was tested properly.
0,comprehensively tested for users
0,in the files they provided i found they provided test for most of controllers and models.
1,have implemented basic testing. could add more application specific test cases.
0,last commit was days ago so they are not continuous throughout the period.
0,yes it looks like all team members contributed and they have commits over the course of several weeks.
0,so many commits. it makes me proud. starting as early as september nd they make progress up until.. today. either way they passed this with flying colors.
0,about commits were done along the 
0,according to the record on they committed for many times so they may keep pushing changes.
0,evenly committed code during the project duration.
0,the team pushed changes frequently.
0,the code is very well written and organised. all the framework conventions have been followed such as the naming conventions. comments have been added at appropriate places which improved the readability.
1,yes. code is written properly. followed dry principle. added comments where possible. followed mac with rails framework.
0,first of all this webster does work at all. i can sign up as any role. and i also can get admin info from file which is an auto generated file.
0,it does well to follow the good ruby and rails coding practices. it follows the dry code approach.
1,looking at your code on you guys are following good coding practices. just at some places you have repeated you code for example in you are repeating of code. you can create one file for the repeated code and call it based on the object or move the repeated code to section and use it.
0,the git code included almost everything that follows good coding practices using ruby and rails.
0, file is not updated. could find admin credentials. the ui looked promising on the login page but the sign fails am not able to sign up either as house hunter or as reactor tried so many times in all possible ways. without these i could test any of the the error message was sign up failed please retry
0,yes. user interface is good and easy to access.
0,no the file is an auto generated file and there is no details in it.
0,a little confusing as there are two sign up forms one under the other and it is not clear what they are for.
0,only the registration page is working and the interface is quite confusing as it has sign up for both reactor and hunter on the same page which is bit confusing.
0,admin credentials not provided reactor and house hunter sign throws error so unable to use app.
0,you haven specified anything in your file. plus you have given link to hero app but its not working. please make sure its working. i saw you guys had been committing code to your master branch have you guys pushed it to hero that might be the reason it got broken.
0,the ui seems to be flexible. it could include trace back to the home page. the file could include the details to login as email. this would be helpful to use the site to it full potential.
0,no model test cases. controllers not tested exhaustively.
0,team has tested house hunter but not admin and reactor . register page asks us to put credentials twice. we are able to register for house hunter only irrespective of choosing any field house hunter or reactor hence i am not able to login into reactor account. also could not find any credentials for admin reactor or house hunter in file. hence not able to login into admin account also. new link provided in document is not working. if would be great it team could check the link and come back.
0,i don think the test part of this webster is working.
0,you guys haven implemented unit test for your project yet.
0,the house hunter model seemed to work according to most of the tasks mentioned. not for the admin and reactor ones. was unable to login as admin. was unable sign as reactor
0,excellent commit history. contributions from all team members could be seen.
0,yes i could see many push requests on the hence concluding team is pushing their changes periodically.
0,i find few changing records from but i can show the process of development.
0,yes the team kept pushing changes throughout the project period
0,there was consistent commits with spike in between when probably most development happened
0,looking at your commit history you guys started it on saturday when the submission was monday.
0,the webster did not seem to work at first. now i was able to access it. i also noticed some features that were included in the meantime like testing by adding house hunters. overall the team did work on updating the site 
0,only basic operation is available. need to add lots of functionality.
0,the git repo shows total of commits. although majority of the places ruby standards have been followed but at some places variables names such as does not show any relevancy or understanding to the reader. if the variable is pointing to function or belongs to for example it can be house hunt xyz. overall i think good standards are being followed.
0,the code has good style and recognizable convention over configuration. there are some line spacing issues however.
0,yes we can see many pushes on git. hence they have updated code.
0,timely commits and elaborated file.
1,the models views and controllers are well created. you can seed data for the admin into your production environment. the command to do this on hero is hero run rails db seed. you need to make changes in the db file and add your admin credentials in the proper format in this file.
1,everything seems good. you can move constants to separate file and use them. for example where you are comparing admin or reactor you can either move them to separate file or in database and use it.
0,the code is clear and concise it does follow good ruby and rails coding practices.
0,yes the code does follow ruby and rails practices to an extent as i can see the use of many helper methods in the code.
1,stress is given to mac architecture. but proper comments in the code section can simplify the code understanding for other users.
0,the bulk of the code i deciphered was auto generated via scaffold but the code that is changed follows good practices.
0,most files seem to be following good ruby and rails practices.
0,did good job using forms to stay dry with the edit and new pages. some more comments especially in the models would have been helpful to understand why certain validations were chosen. the use of son to store and recall in views was clever.
0,this application has the layout expected of rails application. however not enough information was included in the file about installation.
0,yes. it is well written and they managed to follow dry principle.
0,code follows the basic crud structure given by rails and neatly explains what is being performed. the notices nicely explains the user what is happening. the db schema is designed to incorporate most of the requirements.
0,reviewed the git code for all controller models and views. standard ruby coding practices have been followed and code is easily readable
0,not much of coding is done. only the files automatically created by rails are present.
0,code follows good ruby and rails coding practices. naming conventions are correct methods in controllers are short and concise and there are no instances of spaghetti code.
0,most of the code is well organized and follows good ruby and rails coding practices. but i found some code has indentation problems. for example in session controller line have obvious indentation problem.
1,the ui for the login page is the only thing that loads as i unable to sign up. a suggestion for the future would be to provide username and password for an account that is already created to be provided somewhere to ensure reviewer can log in even if signing up does not work.
0,the file is still the default provided by rails. i don have access to an admin login and when i try to sign up for new account reactor or hunter i get redirected to seepage telling me that something went wrong. the small amount of the ui that does exist login and create account seems easy enough to understand but it appears that without logging in i cannon see any other links.
0,yes user interface is easy to use on the first page.
0, file has no details on how to login and the sign pages for house hunter and are not working. so no way of navigating the application fully.
0, file does details on setting up account for admin. i tried signing up new user for reactor and house hunter whenever i try to sign up it is throwing error. it could be an issue with hero however login prompt is designed very well.
0, file does have any information. not able to login with admin credentials.
0,could not test ui because links for signing up are broken.
0,although the application is deployed on hero and the user interface is concise and easy to use the file provides no information about admin account email and password and application features.
1,im unable to sign as house hunter or reactor so the controllers for the same have not been tested. a suggestion would be to provide details of already created users so that reviewers can log in and test other 
0,due to the lack of provided admin login and the fact that i cannon sign up for reactor or hunter account it is impossible to evaluate the 
0,while the typical rails files for testing were included i did not see complete set of tests for model and controller.
0,i am not able to sign up into the system. neither could see any credentials in the file. hence not able to proceed further to check the above mentioned 
0,default tests are present. not the actual tests.
0,no work has been done. application throws error as soon click on sign up button and choose any type of account.
0,tests are added for most controllers.
0,multiple commits are present in the repo.
0,all of the commits for this application were made on the same day.
0,there were commits on the day it was due presumably to get the project up and running for submission and today to unload the development database.
0,i see commits only on single day.
0,all the changes are pushed at once.
0,git was not utilized fully. there are only handful of commits that do not capture the development process of project.
0,i looked through their commits log and found that their first commit is on oct. maybe their just began to do the project on oct.
1,yes. i am able to login into the system via the link provided.
1,the user interface has bare bones look and feel but is intuitive overall. the inquiries list is hard to find for the admin and the links below the tables could be placed at the top of the screen to improve the ux. the inquiry component of the app had awkward navigation particularly for the reactor this is also awkward for the house hunter. only one link is needed up top.
0,sign up for and admin gives application error.
0,the user interface is pretty intuitive. few things like the create house functionality is breaking on hero and giving an application error.
1,they have attached other files saying what all they have implemented.
0,everything was described properly in the file.
1,ui is simple to follow. enhancements mentioned below can simplify various tasks. preferred contact method can be drop down with text mail phone options. user role can be drop down with buyer and reactor
1,the user interface is average. the good parts i found about ui are. error messages while registering new admin house hunter reactor house company were helpful. front end checks like mail and phone number size and type etc have been used properly. for companies while registering houses for houses while submitting etc are properly implemented and easy to use. however several very small changes would make the ui much better. allow drop down when signing up as roles. add inquire house or add new house to interest list etc at the top. if house list gets few hundred rows long user must scroll all the way down to access the add message as to why login failed. something as simple as invalid credentials would suffice and let user know that the login is working but the password is incorrect.
0,no model tests were found but controller test was well tested.
0,i could see testing done. i could see extra test cases added.
1,i feel the user model is well tested. the link to houses broke through reactor role on hero this might just be production issue and might work well locally in the development environment. i recommend checking the hero logs and fixing this error. due to this error i could not create any house for listing. overall i feel it is good job and you have managed to implement most of the one suggestion would be when i try to sign up as user i have to fill up the role type. this is not intuitive for user as the user does not know what kinds of roles and their format case sensitivity data type etc expected by your system. i would suggest either give drop down for this or which will be easy for user to use.
0,you haven completed this task.
0,yes
0,parts of the code is tested partially none of the models are tested thoroughly
0,all the tests are auto generated.
0,the team all had multiple commits throughout the course of the project.
0,yes could see multiple pushes.
0,the team has been pushing changes since around days ago and the project structure feels well planned with some changes and testing required.
0,they have commits. ui is great everything is running smoothly.
0,the project was continuously updated during the past two weeks.
1,git shows too many changes which are not required. one can test thoroughly before submitting the changes.
0,code commit frequency is fairly good.
0,well tested.
0,well written code following coding practices.
0,ruby coding convention has been followed almost throughout the project.
0,all practices were followed
0,code looks good. use comments wherever necessary.
0,the code is well formatted and follows good ruby and rails practice. except for few missing i found the logic very neat.
0,coding standards are fairly good.
0,not defined in file.
0,basic functionality and navigation is missing in the project.
1,intuitive ui. could add bit of bootstrap and cos
0,the admin login id and password provided in the won let me log in to the admin account. hence could test the admin profile information.
0,not thoroughly tested
0,the application is breaking on clicking on the basic such as show or edit. in users show showing home henry design app views users where line raised undefined method reactor for nil extracted source around line current you are registered as reactor please visit your reactor home page here link to reactor home page home reactor path current end
